Data Posição;Data Chegada;Ignição;Odômetro;Horímetro;RPM;T1;T2;T3;US;TS;TD1;TD2;TD3;UD1;UD2;UD3;Memória;Satelital;Ponto de Ref. Embarcado;Ponto de Referência;Sensores Inibidos;S. em modo seguro;A. em modo seguro;Cidade;UF
20/10/2025 16:08:52;20/10/2025 16:08:53;SIM;683353,4;12877h 5m;957;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 16:07:17;20/10/2025 16:07:18;SIM;683352,6;12877h 3m;967;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 16:03:03;20/10/2025 16:03:04;SIM;683350,5;12876h 59m;890;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 16:02:02;20/10/2025 16:02:03;SIM;683350,0;12876h 58m;925;-11;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 15:59:07;20/10/2025 15:59:08;SIM;683349,3;12876h 55m;1160;-14;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 15:58:50;20/10/2025 15:58:51;SIM;683349,2;12876h 54m;833;-14;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 15:56:36;20/10/2025 15:56:37;SIM;683349,0;12876h 52m;564;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 15:56:24;20/10/2025 15:56:25;SIM;683349,0;12876h 52m;566;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 15:56:12;20/10/2025 15:56:13;SIM;683349,0;12876h 52m;564;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
20/10/2025 15:54:46;20/10/2025 15:54:47;SIM;683349,0;12876h 50m;564;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / Des / SPM / SPC / VPa;Sir / TBT;Fortaleza;CE
